[epoch: 1, iter:     1] loss: 0.04294
, loss_inr: 0.00000[epoch: 5, iter:   341] loss: 0.01738
, loss_inr: 0.00000[epoch: 5, iter:   351] loss: 0.01741
, loss_inr: 0.00000[epoch: 5, iter:   361] loss: 0.01733
, loss_inr: 0.00000[epoch: 5, iter:   371] loss: 0.01731
, loss_inr: 0.00000[epoch: 5, iter:   381] loss: 0.01734
, loss_inr: 0.00000[epoch: 5, iter:   391] loss: 0.01732
, loss_inr: 0.00000[epoch: 5, iter:   401] loss: 0.01735
, loss_inr: 0.00000[epoch: 5, iter:   411] loss: 0.01727
, loss_inr: 0.00000[epoch: 5, iter:   421] loss: 0.01731
, loss_inr: 0.00000[epoch: 5, iter:   431] loss: 0.01728
, loss_inr: 0.00000[epoch: 5, iter:   441] loss: 0.01728
, loss_inr: 0.00000[epoch: 5, iter:   451] loss: 0.01723
, loss_inr: 0.00000[epoch: 5, iter:   461] loss: 0.01721
, loss_inr: 0.00000[epoch: 5, iter:   471] loss: 0.01722
, loss_inr: 0.00000[epoch: 5, iter:   481] loss: 0.01724
, loss_inr: 0.00000[epoch: 5, iter:   491] loss: 0.01722
, loss_inr: 0.00000[epoch: 5, iter:   501] loss: 0.01716
, loss_inr: 0.00000[epoch: 5, iter:   511] loss: 0.01717
, loss_inr: 0.00000[epoch: 5, iter:   521] loss: 0.01718
, loss_inr: 0.00000[epoch: 5, iter:   531] loss: 0.01710
, loss_inr: 0.00000[epoch: 5, iter:   541] loss: 0.01715
, loss_inr: 0.00000[epoch: 5, iter:   551] loss: 0.01714
, loss_inr: 0.00000[epoch: 5, iter:   561] loss: 0.01708
, loss_inr: 0.00000[5] val PSNR: 31.525
[epoch: 6, iter:     1] loss: 0.00171
, loss_inr: 0.00000[epoch: 6, iter:    11] loss: 0.01698
, loss_inr: 0.00000[epoch: 6, iter:    21] loss: 0.01688
, loss_inr: 0.00000[epoch: 6, iter:    31] loss: 0.01694
, loss_inr: 0.00000[epoch: 6, iter:    41] loss: 0.01694
, loss_inr: 0.00000[epoch: 6, iter:    51] loss: 0.01691
, loss_inr: 0.00000[epoch: 6, iter:    61] loss: 0.01690
, loss_inr: 0.00000[epoch: 6, iter:    71] loss: 0.01690
, loss_inr: 0.00000[epoch: 6, iter:    81] loss: 0.01688
, loss_inr: 0.00000[epoch: 6, iter:    91] loss: 0.01689
, loss_inr: 0.00000[epoch: 6, iter:   101] loss: 0.01685
, loss_inr: 0.00000[epoch: 6, iter:   111] loss: 0.01685
, loss_inr: 0.00000[epoch: 6, iter:   121] loss: 0.01684
, loss_inr: 0.00000[epoch: 6, iter:   131] loss: 0.01683
, loss_inr: 0.00000[epoch: 6, iter:   141] loss: 0.01686
, loss_inr: 0.00000[epoch: 6, iter:   151] loss: 0.01685
, loss_inr: 0.00000[epoch: 6, iter:   161] loss: 0.01682
, loss_inr: 0.00000[epoch: 6, iter:   171] loss: 0.01682
, loss_inr: 0.00000[epoch: 6, iter:   181] loss: 0.01676
, loss_inr: 0.00000[epoch: 6, iter:   191] loss: 0.01676
, loss_inr: 0.00000[epoch: 6, iter:   201] loss: 0.01675
, loss_inr: 0.00000[epoch: 6, iter:   211] loss: 0.01676
, loss_inr: 0.00000[epoch: 6, iter:   221] loss: 0.01674
, loss_inr: 0.00000[epoch: 6, iter:   231] loss: 0.01677
, loss_inr: 0.00000[epoch: 6, iter:   241] loss: 0.01673
, loss_inr: 0.00000[epoch: 6, iter:   251] loss: 0.01671
, loss_inr: 0.00000[epoch: 6, iter:   261] loss: 0.01672
, loss_inr: 0.00000[epoch: 6, iter:   271] loss: 0.01673
, loss_inr: 0.00000[epoch: 6, iter:   281] loss: 0.01667
, loss_inr: 0.00000[epoch: 6, iter:   291] loss: 0.01664
, loss_inr: 0.00000[epoch: 6, iter:   301] loss: 0.01663
, loss_inr: 0.00000[epoch: 6, iter:   311] loss: 0.01668
, loss_inr: 0.00000[epoch: 6, iter:   321] loss: 0.01665
, loss_inr: 0.00000[epoch: 6, iter:   331] loss: 0.01664
, loss_inr: 0.00000[epoch: 6, iter:   341] loss: 0.01665
, loss_inr: 0.00000[epoch: 6, iter:   351] loss: 0.01664
, loss_inr: 0.00000[epoch: 6, iter:   361] loss: 0.01658
, loss_inr: 0.00000[epoch: 6, iter:   371] loss: 0.01654
, loss_inr: 0.00000[epoch: 6, iter:   381] loss: 0.01658
, loss_inr: 0.00000[epoch: 6, iter:   391] loss: 0.01663
, loss_inr: 0.00000[epoch: 6, iter:   401] loss: 0.01657
, loss_inr: 0.00000[epoch: 6, iter:   411] loss: 0.01657
, loss_inr: 0.00000[epoch: 6, iter:   421] loss: 0.01653
, loss_inr: 0.00000[epoch: 6, iter:   431] loss: 0.01651
, loss_inr: 0.00000[epoch: 6, iter:   441] loss: 0.01650
, loss_inr: 0.00000[epoch: 6, iter:   451] loss: 0.01649
, loss_inr: 0.00000[epoch: 6, iter:   461] loss: 0.01650
, loss_inr: 0.00000[epoch: 6, iter:   471] loss: 0.01650
, loss_inr: 0.00000[epoch: 6, iter:   481] loss: 0.01647
, loss_inr: 0.00000[epoch: 6, iter:   491] loss: 0.01646
, loss_inr: 0.00000[epoch: 6, iter:   501] loss: 0.01649
, loss_inr: 0.00000[epoch: 6, iter:   511] loss: 0.01646
, loss_inr: 0.00000[epoch: 6, iter:   521] loss: 0.01643
, loss_inr: 0.00000[epoch: 6, iter:   531] loss: 0.01650
, loss_inr: 0.00000[epoch: 6, iter:   541] loss: 0.01647
, loss_inr: 0.00000[epoch: 6, iter:   551] loss: 0.01641
, loss_inr: 0.00000[epoch: 6, iter:   561] loss: 0.01641
, loss_inr: 0.00000[6] val PSNR: 31.957
[epoch: 7, iter:     1] loss: 0.00163
, loss_inr: 0.00000[epoch: 7, iter:    11] loss: 0.01625
, loss_inr: 0.00000[epoch: 7, iter:    21] loss: 0.01627
